Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,CV_F1_Mean,CV_F1_Std,Training_Time_Seconds
Logistic Regression,0.62,0.5238095238095238,0.28205128205128205,0.36666666666666664,0.6242118537200505,0.32643726736342504,0.0538865079811346,7.433089
Naïve Bayes,0.61,0.0,0.0,0.0,0.6002522068095838,0.0,0.0,0.005143
Linear SVM,0.63,0.5263157894736842,0.5128205128205128,0.5194805194805194,0.6300966792770072,0.4239148932986982,0.051980416511338556,3.854435
Random Forest,0.6,0.3333333333333333,0.02564102564102564,0.047619047619047616,0.5439260193358554,0.12239055062584474,0.058902177180701815,0.971702
